ISBN	Description	Publisher	Stock	Image Path	Net Price	Tax Rate	Gross Price	Discount Rate	Discounted Net Price	Taxed Net Price
28031202001	null	null	null	null	null	null	null	null	null	null
28031202011	null	null	null	null	null	null	null	null	null	null
28031202021	null	null	null	null	null	null	null	null	null	null
8698686850518	null	null	null	null	null	null	null	null	null	null
8698686850525	Formül 11. Sınıf Coğrafya Yaprak Testleri	Formül Yayınları	425	/images/product/8698686850525.jpg	 2,78	 %8,00	3,00	%45,00	1,53	1,65
8698686850532	Formül 11. Sınıf Felsefe Sosyoloji Yaprak Testler	Formül Yayınları	Stokta Yok	/images/product/8698686850532.jpg	 2,31	 %8,00	2,50	%45,00	1,27	1,37
8698686850556	Formül 11. Sınıf Geometri Yaprak Testler	Formül Yayınları	Stokta Yok	/images/product/8698686850556.jpg	 4,63	 %8,00	5,00	%45,00	2,55	2,75
8698686850884	Formül LYS 3 Edebiyat Coğrafya Deneme Sınavları Çözümlü 10 Deneme	Formül Yayınları	Stokta Yok	/images/product/8698686850884.jpg	 6,94	 %8,00	7,50	%0,00	6,94	7,50
8698686850891	Formül LYS 4 Sosyal Bilimler Deneme Sınavları Çözümlü 10 Deneme	Formül Yayınları	Stokta Yok	/images/product/8698686850891.jpg	 7,87	 %8,00	8,50	%0,00	7,87	8,50
9786051230375	Sınav YGS 15 Deneme	Sınav Dergisi Yayınları	228	/images/product/9786051230375.jpg	 21,30	 %8,00	23,00	%45,00	11,71	12,65
9786051230399	Sınav YGS 10 Deneme	Sınav Dergisi Yayınları	40	/images/product/9786051230399.jpg	 18,06	 %8,00	19,50	%45,00	9,93	10,73
9786051230405	Sınav LYS 1 Matematik Geometri 10 Deneme	Sınav Dergisi Yayınları	Stokta Yok	/images/product/9786051230405.jpg	 16,67	 %8,00	18,00	%45,00	9,17	9,90
9786051230412	Sınav LYS 2 Fizik Kimya Biyoloji 10 Deneme	Sınav Dergisi Yayınları	Stokta Yok	/images/product/9786051230412.jpg	 17,59	 %8,00	19,00	%45,00	9,68	10,45
9786051230429	Sınav LYS 3 Türk Dili ve Edebiyatı Coğrafya 1 10 Deneme	Sınav Dergisi Yayınları	Stokta Yok	/images/product/9786051230429.jpg	 16,67	 %8,00	18,00	%45,00	9,17	9,90
9786051230436	Sınav LYS 4 Tarih Coğrafya 2 Felsefe Grubu 10 Deneme	Sınav Dergisi Yayınları	Stokta Yok	/images/product/9786051230436.jpg	 17,59	 %8,00	19,00	%45,00	9,68	10,45
9786051230726	Sınav YGS LYS Felsefe Grubu Konu Anlatımlı	Sınav Dergisi Yayınları	42	/images/product/9786051230726.jpg	 26,85	 %8,00	29,00	%45,00	14,77	15,95
9786051231006	Sınav LYS Tarih Soru Bankası	Sınav Dergisi Yayınları	143	/images/product/9786051231006.jpg	 10,65	 %8,00	11,50	%45,00	5,86	6,33
9786051231020	Sınav LYS Edebiyat Soru Bankası	Sınav Dergisi Yayınları	157	/images/product/9786051231020.jpg	 19,44	 %8,00	21,00	%45,00	10,69	11,55
9786051231044	Sınav YGS Kimya Konu Anlatımlı	Sınav Dergisi Yayınları	70	/images/product/9786051231044.jpg	 18,52	 %8,00	20,00	%45,00	10,19	11,00
9786051231105	Sınav YGS Sosyal Bilimler 30x40 Deneme	Sınav Dergisi Yayınları	275	/images/product/9786051231105.jpg	 16,67	 %8,00	18,00	%45,00	9,17	9,90
9786051231112	Sınav YGS Temel Matematik Soru Bankası	Sınav Dergisi Yayınları	51	/images/product/9786051231112.jpg	 23,15	 %8,00	25,00	%45,00	12,73	13,75
9786051231129	Sınav YGS Fen 30x40 Deneme	Sınav Dergisi Yayınları	282	/images/product/9786051231129.jpg	 16,67	 %8,00	18,00	%45,00	9,17	9,90
9786051231136	Sınav YGS Türkçe 30x40 Deneme	Sınav Dergisi Yayınları	166	/images/product/9786051231136.jpg	 16,67	 %8,00	18,00	%45,00	9,17	9,90
9786051231143	Sınav YGS Matematik 30x40 Deneme	Sınav Dergisi Yayınları	247	/images/product/9786051231143.jpg	 12,96	 %8,00	14,00	%45,00	7,13	7,70
9786051231150	Sınav LYS Matematik Soru Bankası	Sınav Dergisi Yayınları	63	/images/product/9786051231150.jpg	 22,22	 %8,00	24,00	%45,00	12,22	13,20
